topic,word,score
Analysis,trump,3.630111827568212
Analysis,president,3.1877399398709203
Analysis,donald,3.060706215399504
Analysis,poll,2.8221507170675815
Analysis,election,2.444340692673934
Analysis,campaign,2.3927002166953097
Analysis,voters,1.9858714546151202
Analysis,new,1.7529515096010329
Analysis,presidential,1.6522165448606376
Analysis,vice,1.611816488450755
Campaign Activity,trump,3.2613429656852166
Campaign Activity,president,3.079107320266097
Campaign Activity,election,2.9819686861829107
Campaign Activity,donald,2.690168774290653
Campaign Activity,vice,2.609453522537139
Campaign Activity,night,2.3442116695522537
Campaign Activity,gates,2.2951558007209494
Campaign Activity,rally,2.2891866061286756
Campaign Activity,saturday,2.1934099879140376
Campaign Activity,campaign,2.090902920234784
Celebrity,rally,4.810311623557362
Celebrity,beyonc,3.5287673167242106
Celebrity,trump,3.2216739488706696
Celebrity,president,3.0432813275289208
Celebrity,houston,2.764075721382761
Celebrity,donald,2.45632365599578
Celebrity,campaign,2.3650705673885697
Celebrity,springsteen,2.241117810951166
Celebrity,vice,2.199356159261294
Celebrity,appear,1.9249925973108752
Trump,trump,1.8921951753385406
Trump,donald,1.5709118699905777
Trump,interview,1.2069115475056078
Trump,cbs,1.1872049850126407
Trump,president,1.0853183759428706
Trump,minutes,1.0030027929368126
Trump,trumps,0.9688899352482498
Trump,rally,0.855478030862955
Trump,muslim,0.8010384280754783
Trump,lawsuit,0.7727587232316471
